num;IDBVA;STATUT;AGE;SEXE;AGE4T;RS4;HABITAT;Typeabonnement;Typecompteur;Puissancesouscrite;Typecommune;Radiateurselectriques;Balloneauchaudeelectrique;Bornerecharge;Autresourceenergie;Q11;Q12;Q13;Q14;Q2;Q3;Q4;Q51;Q52;Q6;Q71;Q72;Q8;Q91;Q92;Q10;Q111;Q112;Q131;Q132;Q141;Q151;Q152;Q16;Q17;Q181;Q182;Q19;Q20;Q21;Q22;Q24;Q25;RS11;prob5inf;prob5sup;Q11B;Q12B;Q13B;Q14B;Q2B;Q3B;Q4B;Q51B;Q52B;Q6B;score16;score15;prob1_5inf;prob1_5sup;prob2_5inf;prob2_5sup;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;NRJ;POIDS;probaInf;probasup
499;3012;Participant;74;Homme;>= 60 ans;Non;Maison;HP/HC;Triphase;9;Rurale;Non;Non;Non;Non;Ne se prononce pas;Non, pas vraiment;Non, pas vraiment;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Non, pas du tout;Pas du tout gene;Non, pas du tout;Est inchangee;Non;0.52;0.97;0;0;0;1;1;1;1;1;1;0;6;6;0,52;0,97;0,2;0,55;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
28;3091;Participant;75;Femme;>= 60 ans;Non;Maison;HP/HC;Monophase;9;Rurale;Non;Oui;Non;Oui;Oui, tout a fait;Non, pas vraiment;Oui, tout a fait;Non, pas vraiment;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Oui, un peu;Non;;;Oui;Lave-linge;;Non, il n¶?y avait personne a mon domicile;Ne se prononce pas;;;;;Oui, tout a fait;Un peu gene;Ne se prononce pas;Est inchangee;Oui;0.66;0.81;1;0;1;0;1;1;1;1;1;0;7;7;0,66;0,81;0,2;0,67;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
393;3106;Participant;76;Femme;>= 60 ans;Non;Maison;HP/HC;Monophase;9;Rurale;Oui;Oui;Non;Oui;Oui, plutot;Non, pas vraiment;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, tout a fait;Est inchangee;Oui;0.51;0.67;1;0;1;1;1;1;1;1;1;0;8;8;0,51;0,67;0,23;0,8;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
786;3306;Participant;69;Femme;>= 60 ans;Non;Maison;EJP;Monophase;12;Rurale;Oui;Oui;Non;Oui;Non, pas du tout;Non, pas du tout;Ne se prononce pas;Non, pas du tout;Oui, plutot;Oui, tout a fait;Non, pas du tout;Oui, tout a fait;Non, pas du tout;Oui;Par mail;;Non, pas vraiment;;;;Non, pas vraiment;Oui;Four;;Oui;Autres;CHAUFFAGE ET BALLON D'EAU CHAUDE/CT;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Ne se prononce pas;Un peu gene;Oui, tout a fait;Est inchangee;Oui;0.5;0.5;0;0;0;0;1;1;0;1;0;1;4;3;0,5;0,5;0,5;0,5;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,2;0,457
5;3392;Participant;74;Femme;>= 60 ans;Non;Maison;EJP;Triphase;12;Urbaine;Non;Oui;Non;Oui;Non, pas vraiment;Non, pas du tout;Non, pas du tout;Non, pas du tout;Oui, plutot;Oui, plutot;Non, pas du tout;Oui, plutot;Non, pas du tout;Non;;;;;;;Non, pas vraiment;Oui;Lave-vaisselle,Lave-linge,Four;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Ne se prononce pas;Un peu gene;Non, pas vraiment;Est inchangee;Non;0.67;0.99;0;0;0;0;1;1;0;1;0;0;3;3;0,67;0,99;0,5;0,5;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
19;3452;Participant;77;Femme;>= 60 ans;Non;Maison;Tempo;Triphase;12;Rurale;Non;Oui;Non;Oui;Oui, plutot;Oui, plutot;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, tout a fait;Oui, plutot;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, tout a fait;Est inchangee;Non;0.67;0.99;1;1;1;1;1;1;1;1;1;0;9;9;0,67;0,99;0,23;0,8;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
18;3490;Participant;63;Homme;>= 60 ans;Non;Maison;EJP;Monophase;12;Rurale;Oui;Oui;Non;Oui;Ne se prononce pas;Non, pas du tout;Non, pas du tout;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Non, pas du tout;Oui, tout a fait;Oui, plutot;Non;;;;;;;Non, pas du tout;Oui;Radiateur electrique;;Oui;Radiateur electrique;;Oui, j¶?etais present seul;Ne se prononce pas;;;;;Oui, tout a fait;Pas du tout gene;Oui, plutot;Est inchangee;Oui;0.66;0.81;0;0;0;1;1;1;0;1;1;0;5;5;0,66;0,81;0,35;0,6;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
49;3501;Participant;76;Homme;>= 60 ans;Non;Maison;EJP;Monophase;12;Rurale;Non;Oui;Non;Oui;Ne se prononce pas;Non, pas du tout;Oui, plutot;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui;Via le formulaire de contact de leur site internet;;Oui, tout a fait;;;;Non, pas du tout;Oui;Radiateur electrique;;Oui;Radiateur electrique;;Oui, j¶?etais present seul;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, plutot;S'est amelioree;Non;0.66;0.81;0;0;1;0;1;1;1;1;1;1;7;6;0,66;0,81;0,18;0,52;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
785;3523;Participant;85;Femme;>= 60 ans;Non;Maison;EJP;Monophase;12;Rurale;Non;Oui;Non;Oui;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Ne se prononce pas;Oui, tout a fait;Non, pas vraiment;Oui, plutot;Ne se prononce pas;Oui, tout a fait;Non;;;;;;;Ne se prononce pas;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, tout a fait;Pas du tout gene;Ne se prononce pas;Est inchangee;Non;0.5;0.5;0;1;1;0;1;0;1;0;1;0;5;5;0,5;0,5;0,18;0,52;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
345;3886;Participant;28;Homme;<30 ans;Non;Maison;Tarif de base;Triphase;12;Urbaine;Non;Non;Non;Oui;Oui, plutot;Oui, plutot;Oui, plutot;Non, pas du tout;Oui, plutot;Oui, plutot;Oui, plutot;Oui, plutot;Oui, plutot;Non;;;;;;;Non, pas vraiment;Non;;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, plutot;Pas du tout gene;Oui, plutot;Est inchangee;Oui;0.51;0.67;1;1;1;0;1;1;1;1;1;0;8;8;0,51;0,67;0,2;0,67;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
836;3955;Participant;87;Femme;>= 60 ans;Non;Maison;Tarif de base;Triphase;12;Urbaine;Non;Non;Non;Oui;Oui, plutot;Oui, plutot;Oui, plutot;Oui, plutot;Oui, plutot;Oui, plutot;Oui, plutot;Non, pas du tout;Oui, plutot;Non;;;;;;;Non, pas du tout;Oui;Lave-linge,Lave-vaisselle,Micro-ondes,Machine a cafe,Fer a repasser,Television,Radiateur electrique,Recharge d¶?un vehicule electrique,Seche-cheveux,Eclairage,Aspirateur,Bouilloire,Plaques de cuisson,Four,Seche-linge;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, plutot;Pas du tout gene;Oui, plutot;Est inchangee;Oui;0.5;0.5;1;1;1;1;1;1;1;0;1;0;8;8;0,5;0,5;0,23;0,8;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
484;4053;Participant;86;Femme;>= 60 ans;Non;Maison;Tarif de base;Triphase;12;Rurale;Non;Oui;Non;Non;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, plutot;Ne se prononce pas;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, plutot;Pas du tout gene;Oui, tout a fait;Est inchangee;Non;0.51;0.67;1;1;1;1;1;1;1;0;1;0;8;8;0,51;0,67;0,23;0,8;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,511;0,805
488;4478;Participant;81;Femme;>= 60 ans;Non;Maison;HP/HC;Monophase;12;Urbaine;Non;Non;Non;Non;Oui, tout a fait;Non, pas du tout;Oui, plutot;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Non, pas du tout;Non, pas du tout;Ne se prononce pas;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Non, il n¶?y avait personne a mon domicile;Non;;;;;Ne se prononce pas;Pas du tout gene;Non, pas du tout;Est inchangee;Oui;0.51;0.67;1;0;1;0;1;1;0;0;0;0;4;4;0,51;0,67;0,54;0,77;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
491;4686;Participant;84;Femme;>= 60 ans;Non;Maison;HP/HC;Monophase;12;Urbaine;Oui;Oui;Non;Non;Oui, tout a fait;Ne se prononce pas;Ne se prononce pas;Oui, plutot;Oui, plutot;Ne se prononce pas;Oui, plutot;Oui, plutot;Oui, plutot;Non;;;;;;;Non, pas vraiment;Non;;;Non;;;Ne se prononce pas;Non;;;;;Ne se prononce pas;Pas du tout gene;Ne se prononce pas;Est inchangee;Non;0.51;0.67;1;0;0;1;1;0;1;1;1;0;6;6;0,51;0,67;0,22;0,69;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
285;4720;Participant;70;Femme;>= 60 ans;Non;Maison;HP/HC;Monophase;12;Rurale;Oui;Oui;Non;Non;Ne se prononce pas;Oui, tout a fait;Non, pas vraiment;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non, pas vraiment;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas vraiment;Oui;Plaques de cuisson,Four;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, plutot;Pas du tout gene;Oui, plutot;Est inchangee;Non;0.66;0.81;0;1;0;1;1;1;0;1;1;0;6;6;0,66;0,81;0,35;0,6;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,511;0,805
412;4995;Participant;78;Homme;>= 60 ans;Non;Maison;HP/HC;Triphase;12;Rurale;Oui;Oui;Non;Non;Non, pas du tout;Non, pas vraiment;Non, pas vraiment;Non, pas du tout;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Oui, un peu;Non;;;Oui;Radiateur electrique;;Oui, j¶?etais present seul;Non;;;;;Oui, tout a fait;Un peu gene;Oui, plutot;Est inchangee;Non;0.51;0.67;0;0;0;0;1;1;1;1;1;0;5;5;0,51;0,67;0,17;0,37;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,2;0,457
79;5051;Participant;81;Femme;>= 60 ans;Non;Maison;HP/HC;Triphase;12;Urbaine;Oui;Oui;Non;Oui;Oui, tout a fait;Ne se prononce pas;Non, pas vraiment;Non, pas vraiment;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Ne se prononce pas;Non, pas vraiment;Non;;;;;;;Non, pas du tout;Non;;;Oui;Lave-linge,Television,Four,Lave-vaisselle;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Ne se prononce pas;Pas du tout gene;Oui, tout a fait;Est inchangee;Non;0.66;0.81;1;0;0;0;1;1;1;0;0;0;4;4;0,66;0,81;0,34;0,6;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
190;5679;Participant;73;Femme;>= 60 ans;Non;Maison;Tarif de base;Triphase;6;Urbaine;Non;Non;Non;Oui;Oui, plutot;Non, pas vraiment;Non, pas du tout;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Oui, un peu;Oui;Lave-linge,Micro-ondes;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Non, pas vraiment;Un peu gene;Oui, plutot;Est inchangee;Oui;0.66;0.81;1;0;0;1;1;1;1;1;1;0;7;7;0,66;0,81;0,22;0,69;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,683;0,841
340;5858;Participant;65;Femme;>= 60 ans;Non;Maison;HP/HC;Monophase;6;Rurale;Oui;Oui;Non;Non;Ne se prononce pas;Non, pas vraiment;Non, pas vraiment;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Non, pas vraiment;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Oui, un peu;Non;;;Oui;Radiateur electrique;;Oui, j¶?etais present seul;Non;;;;;Non, pas vraiment;Un peu gene;Non, pas du tout;Est inchangee;Non;0.52;0.97;0;0;0;0;1;1;0;1;1;0;4;4;0,52;0,97;0,31;0,43;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,683;0,841
38;6002;Participant;68;Homme;>= 60 ans;Non;Maison;Tempo;Monophase;6;Rurale;Oui;Oui;Non;Non;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Non;;;;;;;Oui, un peu;Oui;Lave-linge,Lave-vaisselle,Seche-linge,Fer a repasser;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, tout a fait;Un peu gene;Non, pas du tout;Est inchangee;Non;0.66;0.81;1;1;1;1;1;1;1;1;1;0;9;9;0,66;0,81;0,23;0,8;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,683;0,841
788;6133;Participant;82;Homme;>= 60 ans;Non;Maison;HP/HC;Monophase;6;Rurale;Non;Oui;Non;Non;Ne se prononce pas;Oui, tout a fait;Non, pas du tout;Ne se prononce pas;Oui, plutot;Oui, plutot;Non, pas du tout;Ne se prononce pas;Oui, plutot;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, plutot;Pas du tout gene;Non, pas vraiment;Est inchangee;Non;0.5;0.5;0;1;0;0;1;1;0;0;1;0;4;4;0,5;0,5;0,31;0,43;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,683;0,841
787;6215;Participant;83;Homme;>= 60 ans;Non;Maison;HP/HC;Monophase;6;Rurale;Oui;Oui;Non;Oui;Ne se prononce pas;Oui, tout a fait;Non, pas du tout;Ne se prononce pas;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas vraiment;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, tout a fait;Pas du tout gene;Non, pas vraiment;Est inchangee;Oui;0.5;0.5;0;1;0;0;1;1;1;1;1;0;6;6;0,5;0,5;0,17;0,37;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,683;0,841
826;6551;Participant;74;Homme;>= 60 ans;Non;Maison;HP/HC;Monophase;6;Rurale;Non;Oui;Non;Non;Oui, tout a fait;Oui, tout a fait;Ne se prononce pas;Ne se prononce pas;Ne se prononce pas;Non, pas du tout;Non, pas du tout;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Non, pas du tout;Pas du tout gene;Oui, tout a fait;S'est amelioree;Oui;0.5;0.5;1;1;0;0;0;0;0;1;1;0;4;4;0,5;0,5;0,33;0,59;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,683;0,841
604;6558;Participant;52;Femme;45-59 ans;Non;Maison;HP/HC;Monophase;6;Rurale;Non;Oui;Non;Oui;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non, pas vraiment;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas vraiment;Oui;Lave-linge,Television;;Non;;;Non, il n¶?y avait personne a mon domicile;Non;;;;;Oui, plutot;Pas vraiment gene;Non, pas vraiment;Est inchangee;Oui;0.51;0.67;1;1;1;1;0;1;1;1;1;0;8;8;0,51;0,67;0,23;0,8;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,692;0,956
667;6644;Participant;74;Homme;>= 60 ans;Non;Maison;HP/HC;Monophase;6;Rurale;Non;Non;Non;Oui;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Oui;Four,Seche-linge,Lave-vaisselle,Lave-linge;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, tout a fait;Est inchangee;Non;0.51;0.67;1;1;1;1;1;1;1;1;1;0;9;9;0,51;0,67;0,23;0,8;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,692;0,956
27;6910;Participant;75;Femme;>= 60 ans;Non;Maison;HP/HC;Triphase;18 et plus;Rurale;Oui;Oui;Non;Oui;Non, pas vraiment;Non, pas vraiment;Oui, plutot;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, plutot;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present seul;Non;;;;;Oui, tout a fait;Un peu gene;Oui, tout a fait;Est inchangee;Non;0.66;0.81;0;0;1;1;1;1;1;1;1;0;7;7;0,66;0,81;0,21;0,68;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
60;7297;Participant;90;Homme;>= 60 ans;Non;Maison;EJP;Monophase;12;Urbaine;Non;Non;Non;Non;Non, pas vraiment;Non, pas vraiment;Oui, plutot;Non, pas vraiment;Oui, tout a fait;Oui, tout a fait;Oui, plutot;Non, pas vraiment;Oui, plutot;Non;;;;;;;Oui, un peu;Oui;Four,Lave-linge;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, plutot;Un peu gene;Oui, plutot;Est inchangee;Non;0.67;0.99;0;0;1;0;1;1;1;0;1;0;5;5;0,67;0,99;0,18;0,52;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,5;0,5
44;7718;Participant;78;Femme;>= 60 ans;Non;Maison;Tarif de base;Triphase;12;Rurale;Oui;Oui;Non;Oui;Oui, plutot;Non, pas du tout;Non, pas vraiment;Oui, tout a fait;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, tout a fait;Est inchangee;Oui;0.66;0.81;1;0;0;1;1;1;1;1;1;0;7;7;0,66;0,81;0,22;0,69;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,511;0,805
550;7870;Participant;79;Femme;>= 60 ans;Non;Maison;HP/HC;Triphase;15;Urbaine;Non;Oui;Non;Non;Oui, tout a fait;Non, pas du tout;Non, pas du tout;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Non, pas du tout;Non;;;Non;;;Oui, j¶?etais present avec une ou plusieurs autres personnes;Non;;;;;Oui, plutot;Pas vraiment gene;Oui, tout a fait;Est inchangee;Non;0.51;0.67;1;0;0;1;1;1;1;1;1;0;7;7;0,51;0,67;0,22;0,69;81340.0;7;4;1;1;2;3;;;2;1;1;1,438897;0,511;0,805
