AGENT;ID;AGE;SEXE;AGE4T;PROF;RS4;HABITAT;Revenu;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;O_C3;NRJ;QP1;QP2;QP3_A1;QP3_A2;QP3_A3;QP4;QP5_A1;QP5_A2;QP5_A3;QP5_A4;QP5_A5;QP5_A6;QP6_A1;QP6_A2;QP6_A3;QP6_A4;QP6_A5;QP6_A6;QP6_A7;QP7_M1;O_QP7_M1;QP7_M2;O_QP7_M2;QP7_M3;O_QP7_M3;QF1;QF2;QF3;QF4;QF5;QF6;QR1_A1;QR1_A2;QR1_A3;QR1_A4;QR1_A5;QR1_A6;QR1_A7;QR1_A8;QR1_A9;QR1_A10;QR1_A11;QR2;Q_F1;Q_F2;Q_F3;Q_F4;Q_F5;Q_F6;Q_F7;Q_F8;Q_F9_M1;O_Q_F9_M1;Q_F9_M2;O_Q_F9_M2;Q_F9_M3;O_Q_F9_M3;Q_F10;QE1;QE2;QE3;QE4;QE5;QE6_M1;O_QE6_M1;QE6_M2;O_QE6_M2;QE6_M3;O_QE6_M3;QE6_M4;O_QE6_M4;QE6_M5;O_QE6_M5;QE6_M6;O_QE6_M6;QE6_M7;O_QE6_M7;QE6_M8;O_QE6_M8;QE6_M9;O_QE6_M9;QE6_M10;O_QE6_M10;QE6_M11;O_QE6_M11;QE7;QE8;QA1;QA2;QA3;QA4;QA5;HABITAT.1;QC5;QC6;QC7;QC8;QC9;QC10;QC11;QC12;QC13_M1;QC13_M2;QC13_M3;QC13_M4;QC13_M5;QC13_M6;QC13_M7;QC13_M8;QC13_M9;QC13_M10;QC13_M11;QC13_M12;QC13_M13;QC14;QC15;QC16;S9;S10;QC17;S4;QC18_M1;QC18_M2;QC18_M3;QC18_M4;QC18_M5;POIDS;PROF.1;RS4.1;Typeabonnement;Typecompteur;Puissancesouscrite;Typecommune;Radiateurselectriques;Balloneauchaudeelectrique;Bornerecharge;Autresourceenergie;Q11;Q12;Q13;Q14;Q2;Q3;Q4;Q51;Q52;Q6;Q71;Q72;Q8;Q91;Q92;Q10;Q111;Q112;Q131;Q132;Q141;Q151;Q152;Q16;Q17;Q181;Q182;Q19;Q20;Q21;Q22;Q24;Q25;RS11;prob5inf;prob5sup;Q11B;Q12B;Q13B;Q14B;Q2B;Q3B;Q4B;Q51B;Q52B;Q6B;score16;score15;probinf;probsup
AG2480;62359;27;Femme;<30 ans;Autre inactif;Non;Maison;3;75020;1;1;9;5;1;3;;2.0;1;1;;1;1;2;2;2;2;2;99;99;2;3;99;3;;;2.0;2.0;;2.0;2;3;;5.0;;2.0;;3;1;1;2;4;5;1.0;2.0;2.0;1.0;2.0;3.0;3.0;2.0;1.0;2.0;2.0;2;4;1;3;2;2.0;3.0;2;75.0;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5.0;2;4;3;1;5;6;6;6;99;2;1;1;1;8.0;3.0;7.0;10.0;2.0;12.0;5.0;13.0;6.0;;;;2;;1;3;1.0;3;9;97;;;;;1,32845;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2516;62432;25;Femme;<30 ans;Autre inactif;Non;Maison;5;64300;7;4;1;1;2;3;;2.0;2;1;;1;1;2;2;2;2;1;3;3;1;1;1;3;2.0;2.0;2.0;2.0;2.0;1.0;1;4;;5.0;;2.0;;4;99;1;99;99;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;4;2;3;2;2.0;3.0;2;50.0;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2.0;2;4;2;1;5;6;2;1;2;1;1;3;13;1.0;3.0;10.0;8.0;5.0;;;;;;;;2;;1;4;3.0;4;6;1;;;;;1,44678;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2517;62432;25;Femme;<30 ans;Autre inactif;Non;Maison;5;64300;7;4;1;1;2;3;;2.0;2;1;;1;1;2;2;2;2;1;3;3;1;1;1;3;2.0;2.0;2.0;2.0;2.0;1.0;1;4;;5.0;;2.0;;4;99;1;99;99;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;4;2;3;2;2.0;3.0;2;50.0;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2.0;2;4;2;1;5;6;2;1;2;1;1;3;13;1.0;3.0;10.0;8.0;5.0;;;;;;;;2;;1;4;3.0;4;6;1;;;;;1,44678;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2520;62437;20;Femme;<30 ans;Autre inactif;Non;Maison;2;35520;3;2;2;2;2;3;;2.0;4;1;;1;2;99;4;3;3;1;99;99;1;1;99;99;;;1.0;1.0;;;1;2;;;;;;5;99;99;99;99;99;;;;;;;;;;;;2;2;3;2;3;;;3;;1.0;;7.0;;6.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;4;1;2;1;6;6;5;5;99;1;1;1;3;5.0;6.0;8.0;10.0;11.0;7.0;13.0;2.0;1.0;;;;2;;3;5;1.0;2;6;97;;;;;1,256553;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG684;16401;26;Femme;<30 ans;Autre inactif;Oui;Appartement;4;33200;7;4;8;4;2;3;;2.0;2;1;;1;1;1;3;3;2;2;3;3;1;99;3;3;1.0;1.0;1.0;;2.0;1.0;1;98;;1.0;;;;3;99;99;99;99;2;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2;3;1;3;2;3.0;3.0;3;;6.0;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;2;3;3;2;3;3;6;1;99;2;2;2;13;6.0;3.0;1.0;8.0;;;;;;;;;2;;2;4;3.0;3;6;4;3.0;;;;1,228906;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1343;32542;27;Femme;<30 ans;Autre inactif;Oui;Appartement;3;11200;9;5;1;1;3;3;;2.0;1;1;;1;2;99;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1;1;;;;;;3;1;1;1;4;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;4;2;1;1;1.0;1.0;1;100.0;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1.0;1;1;1;2;4;5;1;1;1;1;1;1;12;13.0;1.0;;;;;;;;;;;2;;2;5;4.0;1;1;3;;;;;1,415365;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1344;32542;27;Femme;<30 ans;Autre inactif;Oui;Appartement;3;11200;9;5;1;1;3;3;;2.0;1;1;;1;2;99;1;1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1;1;;;;;;3;1;1;1;4;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;4;2;1;1;1.0;1.0;1;100.0;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1.0;1;1;1;2;4;5;1;1;1;1;1;1;12;13.0;1.0;;;;;;;;;;;2;;2;5;4.0;1;1;3;;;;;1,415365;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2398;62270;27;Femme;<30 ans;Autre inactif;Oui;Appartement;4;30100;9;5;6;3;3;3;;2.0;1;1;;1;2;2;2;3;3;2;3;99;1;1;3;1;4.0;;3.0;4.0;2.0;3.0;3;2;;3.0;;5.0;;4;1;2;2;2;2;2.0;2.0;4.0;2.0;2.0;1.0;1.0;3.0;4.0;3.0;3.0;2;4;3;3;3;;;3;;10.0;;4.0;;1.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4.0;2;2;3;2;3;3;3;2;2;3;2;2;3;8.0;1.0;5.0;9.0;;;;;;;;;2;;1;2;1.0;1;9;1;4.0;;;;1,181311;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1212;29639;29;Femme;<30 ans;Autre inactif;Oui;Maison;3;62890;4;3;1;1;1;3;;2.0;2;1;;1;2;99;2;2;3;2;3;2;2;3;3;3;3.0;3.0;3.0;3.0;2.0;3.0;3;4;;;;;;3;2;2;99;99;3;3.0;2.0;3.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;1.0;2;3;1;2;2;2.0;2.0;2;20.0;;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;3;4;4;1;3;3;4;2;99;5;5;1;8;6.0;;;;;;;;;;;;2;;2;3;2.0;4;4;97;;;;;1,39851;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1213;29639;29;Femme;<30 ans;Autre inactif;Oui;Maison;3;62890;4;3;1;1;1;3;;2.0;2;1;;1;2;99;2;2;3;2;3;2;2;3;3;3;3.0;3.0;3.0;3.0;2.0;3.0;3;4;;;;;;3;2;2;99;99;3;3.0;2.0;3.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;1.0;2;3;1;2;2;2.0;2.0;2;20.0;;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;3;4;4;1;3;3;4;2;99;5;5;1;8;6.0;;;;;;;;;;;;2;;2;3;2.0;4;4;97;;;;;1,39851;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1214;29639;29;Femme;<30 ans;Autre inactif;Oui;Maison;3;62890;4;3;1;1;1;3;;2.0;2;1;;1;2;99;2;2;3;2;3;2;2;3;3;3;3.0;3.0;3.0;3.0;2.0;3.0;3;4;;;;;;3;2;2;99;99;3;3.0;2.0;3.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;1.0;2;3;1;2;2;2.0;2.0;2;20.0;;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;3;4;4;1;3;3;4;2;99;5;5;1;8;6.0;;;;;;;;;;;;2;;2;3;2.0;4;4;97;;;;;1,39851;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1565;39784;29;Femme;<30 ans;Autre inactif;Oui;Maison;4;87000;7;4;7;4;1;3;;2.0;2;1;;1;2;2;4;1;1;1;3;3;2;3;99;3;1.0;1.0;1.0;3.0;;1.0;1;2;;3.0;;4.0;;2;99;99;99;99;4;1.0;2.0;1.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;2;3;1;1;2;1.0;2.0;4;;5.0;;6.0;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1.0;1;4;3;1;4;5;6;1;99;2;2;2;8;6.0;13.0;3.0;;;;;;;;;;2;;2;5;4.0;3;5;1;;;;;1,187905;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1566;39784;29;Femme;<30 ans;Autre inactif;Oui;Maison;4;87000;7;4;7;4;1;3;;2.0;2;1;;1;2;2;4;1;1;1;3;3;2;3;99;3;1.0;1.0;1.0;3.0;;1.0;1;2;;3.0;;4.0;;2;99;99;99;99;4;1.0;2.0;1.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;2;3;1;1;2;1.0;2.0;4;;5.0;;6.0;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1.0;1;4;3;1;4;5;6;1;99;2;2;2;8;6.0;13.0;3.0;;;;;;;;;;2;;2;5;4.0;3;5;1;;;;;1,187905;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2343;62210;24;Femme;<30 ans;Autre inactif;Oui;Maison;4;62470;4;3;8;4;1;3;;2.0;1;1;;1;1;2;2;3;3;3;3;99;3;3;99;3;2.0;;3.0;4.0;;2.0;3;2;;5.0;;3.0;;4;1;2;99;3;2;2.0;1.0;3.0;3.0;3.0;2.0;2.0;3.0;3.0;1.0;1.0;1;3;3;1;3;;;4;;7.0;;1.0;;5.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2.0;2;3;3;1;3;4;2;2;99;2;2;3;1;3.0;8.0;13.0;6.0;;;;;;;;;2;;2;4;3.0;3;3;5;;;;;1,187905;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2518;62432;25;Femme;<30 ans;Autre inactif;Oui;Maison;5;64300;7;4;1;1;2;3;;2.0;2;1;;1;1;2;2;2;2;1;3;3;1;1;1;3;2.0;2.0;2.0;2.0;2.0;1.0;1;4;;5.0;;2.0;;4;99;1;99;99;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;4;2;3;2;2.0;3.0;2;50.0;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2.0;2;4;2;1;5;6;2;1;2;1;1;3;13;1.0;3.0;10.0;8.0;5.0;;;;;;;;2;;1;4;3.0;4;6;1;;;;;1,44678;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG2519;62437;20;Femme;<30 ans;Autre inactif;Oui;Maison;2;35520;3;2;2;2;2;3;;2.0;4;1;;1;2;99;4;3;3;1;99;99;1;1;99;99;;;1.0;1.0;;;1;2;;;;;;5;99;99;99;99;99;;;;;;;;;;;;2;2;3;2;3;;;3;;1.0;;7.0;;6.0;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;4;1;2;1;6;6;5;5;99;1;1;1;3;5.0;6.0;8.0;10.0;11.0;7.0;13.0;2.0;1.0;;;;2;;3;5;1.0;2;6;97;;;;;1,256553;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5
AG1589;40424;27;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;6;78260;1;1;9;5;1;1;1.0;;2;1;;1;1;2;3;1;2;2;3;99;3;1;99;3;2.0;;2.0;3.0;;1.0;1;2;;5.0;;4.0;;1;2;1;1;2;2;1.0;2.0;2.0;4.0;2.0;1.0;2.0;3.0;3.0;1.0;2.0;3;4;1;3;2;3.0;2.0;3;;10.0;;4.0;;8.0;;3;1;;1.0;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;4.0;4;1;1.0;2;3;3;2;2;2;7;1;1;2;2;1;3;10.0;7.0;8.0;1.0;;;;;;;;;2;;2;2;1.0;1;10;5;1.0;2.0;;;1,03546;3;0;HP/HC;Monophase;6;Urbaine;Oui;Oui;Non;Non;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Oui, un peu;Oui;Lave-linge,Lave-vaisselle;;Non;;;Oui, jÂetais present avec une ou plusieurs autres personnes;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, tout a fait;S'est amelioree;Non;0.5;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9.0;9.0;0.7;1
AG2371;62234;29;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;7;93500;1;1;9;5;1;1;1.0;;2;1;;1;2;2;4;4;4;1;3;99;1;1;99;1;2.0;;3.0;2.0;;3.0;1;2;;5.0;;;;5;99;99;99;99;5;1.0;1.0;4.0;4.0;4.0;4.0;1.0;4.0;4.0;4.0;4.0;3;4;2;2;1;2.0;3.0;3;;1.0;;8.0;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;6.0;1;3;4;2;2;2;1;5;99;1;2;2;13;3.0;8.0;5.0;;;;;;;;;;2;;3;4;1.0;1;10;2;;;;;1,03546;3;0;HP/HC;Monophase;6;Urbaine;Oui;Oui;Non;Non;Oui, tout a fait;Oui, plutot;Oui, plutot;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Oui, tout a fait;Non;;;;;;;Oui, un peu;Oui;Lave-linge,Lave-vaisselle;;Non;;;Oui, jÂetais present avec une ou plusieurs autres personnes;Non;;;;;Oui, tout a fait;Pas du tout gene;Oui, tout a fait;S'est amelioree;Non;0.5;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9.0;9.0;0.7;1
